Product_id,product_name,product_type,product_weight,product_weight_type,31-January-to-14-February,15-February-to-26-February,27-February-to-8-Mars,6-April-to-16-April,17-April-to-25-April,26-April-to-7-May,8-May-to-23-May,24-May-to-6-June,7-June-to-21-June,22-June-to-6-July,7-July-to-19-July,20-july-to-1-August,2-August-to-14-August,15-August-to-23-August,24-August-to-5-September,6-September-to-18-September,19-september-to-27-september,28-September-to-10-October,11-october-to-22-october,23-october-to-31-october,1-November-to-11-November,14-november-to-21-november,22-november-to-4-necember,5-december-to-17-december,1-December-to-3-December,1-January-to-15-January,16-January-to-23-January,24-January-to-30-January,31-january-to-6-february,7-February-to-14-February,15-February-to-28-February,1-March-to-15-March,15-march-to-26-march
8858716041181,الطاهيه ذرة حلوة - 340 جم,بقالة,340,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224008861270,الطحان تمر سادة - 1 كجم,بقالة,1,كجم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224008861546,الطحان تمر فاخر - 1.8 كجم,بقالة,1.8,كجم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224000682040,الطحان دبس تمر - 350 جرام,بقالة,350,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224008630593,العبد كوكيز شانكس - 18 قطعة,بقالة,18,قطعة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224008630630,العبد كوكيز شوكولاتة بقطع الشوكولاتة - 6 كوكيز,بقالة,6,كوكيز,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224009794805,العبد كوكيز فانيليا بقطع الشوكولاتة - 18 قطعة,بقالة,18,قطعة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224009794713,العبد كوكيز فانيليا بقطع الشوكولاتة - 2 كوكيز,بقالة,2,كوكيز,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6224009794744,العبد كوكيز فانيليا بقطع الشوكولاتة - 6 قطع,بقالة,6,قطع,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6222002300245,العروسة شاى اخضر بالنعناع - 100 فتلة,مشروبات,100,فتلة,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6254000115750,العميد بن فاتح بالهيل - 200جم,مشروبات,200,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6254000115774,العميد بن وسط - 200جم,مشروبات,200,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6254000115743,العميد بن وسط بالهيل - 200جم,مشروبات,200,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6291100001026,العين معجون طماطم - 720 جرام,بقالة,720,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
6223001875017,المراعى تريتس زبادى بالخوخ - 100 جم,منتجات البان ,100,جم,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
6223001874973,المراعى تريتس زبادى بفراوله - 100 جم,منتجات البان ,100,جم,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0
6281007026017,المراعي بريميوم لبنة كاملة الدسم - 400 جرام,منتجات البان ,400,جم,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26
6223007521031,المراعي تريتس حليب بالشوكولاتة - 200 مل - 6 عبوات,منتجات البان ,6,عبوات,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
6223007521048,المراعي تريتس حليب بالفراولة - 235 مل,منتجات البان ,235,مل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,15,0,0,16,0,14,0,0,0,0,0
6223007521055,المراعي تريتس حليب بالموز - 235 مل,منتجات البان ,235,مل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,15,0,0,16,0,14,0,0,0,0,0
6223001878513,المراعي رايب - 440 مللي,منتجات البان ,440,مل,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
